Srno,RecipeName,Ingredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,URL,Votes
1152,Saffron Peda Recipe,"300 grams Khoya (Mawa) - store bought or home made,4 tablespoons Sugar,1 teaspoon Saffron strands,2 tablespoons Milk,1/4 teaspoon Cardamom Powder (Elaichi),1 tablespoon Pistachios - sliced,1/2 teaspoon Ghee - optional",15,30,45,12,Indian,Dessert,Vegetarian,https://www.archanaskitchen.com/kesar-peda-recipe-diwali-festival-special-sweet,0
1153,Mushroom Methi Brown Rice Recipe,"1 cup Brown Rice,1 cup Button mushrooms - sliced thin,1 cup Methi Leaves (Fenugreek Leaves) - chopped,2 Onions - finely chopped,2 Tomatoes - finely chopped,3 Green Chillies - slit,5 cloves Garlic - chopped,1 teaspoon Red Chilli powder,2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,2 tablespoons Sunflower Oil",40,15,55,12,Indian,Lunch,Vegetarian,http://www.archanaskitchen.com/mushroom-methi-brown-rice-recipe,0
1154,South Indian Onion Chutney Recipe,"2 Onions,1 teaspoon Cumin seeds (Jeera),2 tablespoons Black Urad Dal (Split),1 tablespoon Tamarind Paste,3 Dry Red Chillies,1/2 teaspoon Jaggery,2 teaspoons Sunflower Oil,Salt - to taste,1 teaspoon Mustard seeds,1 sprig Curry leaves,1/2 teaspoon Sunflower Oil",20,20,40,4,South Indian Recipes,Side Dish,Vegetarian,http://www.archanaskitchen.com/south-indian-onion-chutney-recipe,0
1155,The Paruppu Podi Recipe - South Indian Spiced Dal Chutney Powder,"1 cup Arhar dal (Split Toor Dal),1/4 cup Chana dal (Bengal Gram Dal) - roasted,6 Dry Red Chillies,1 teaspoon Whole Black Peppercorns,1 teaspoon Cumin seeds (Jeera),10 Curry leaves,1/4 teaspoon Asafoetida (hing),Salt - to taste",15,15,30,6,South Indian Recipes,Side Dish,Vegetarian,http://www.archanaskitchen.com/the-paruppu-podi-recipe-south-indian-spiced-lentil-chutney-powder,0
1156,Ruote Pasta & Eggplant Gratin Recipe,"1 cup Route Pasta - �Del Monte Ruote pasta,4-5 tablespoon Extra Virgin Olive Oil,1/4 cup Sweet corn - Delmonte,7-8 Del Monte Black Olives - halved,1/2 cup Tomato Basil Pasta Sauce - Del Monte pasta sauce,1 Red Bell pepper (Capsicum) - chopped,1 Onion - chopped,4-5 cloves Garlic - minced,1/4 cup Soy granules - soaked in hot water for 15 minutes and drained,1 Brinjal (Baingan / Eggplant) - sliced (into rounds),2 teaspoons Red Chilli flakes,1-2 teaspoon Whole Black Peppercorns - crushed,2 sprig Basil leaves - torn,2 sprig Parsley leaves - chopped,1/2 cup Gouda cheese - shredded or crumbled,3-4 tablespoons Whole Wheat Bread crumbs",20,50,70,4,Italian Recipes,Dinner,Vegetarian,https://www.archanaskitchen.com/ruote-pasta-eggplant-gratin-recipe,0
1157,Barnyard Millet Bisi Bele Bath Recipe,"1/4 cup Bisi Bele Bhat Spice Powder,10 Pearl onions (Sambar Onions) - peeled,1 Green Bell Pepper (Capsicum) - diced,2 Carrots (Gajjar) - diced,1/4 cup Green peas (Matar),1/2 cup Green beans (French Beans) - diced,1 Potato (Aloo) - peeled and diced,1 Drumstick - cut into 1 inch pieces,2 Tomatoes - roughly chopped,1-1/2 cups Tamarind Water,2 teaspoons Jaggery,Salt - to taste,1 cup Barnyard Millet,1 cup Arhar dal (Split Toor Dal),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 tablespoon Ghee,1 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),2 Dry Red Chilli,1 sprig Curry leaves,Coriander (Dhania) Leaves - a small bunch",20,90,110,4,South Indian Recipes,Lunch,Vegetarian,https://www.archanaskitchen.com/barnyard-millet-bisi-bele-bath-recipe,0
1158,Maharashtrian Aunty Recipe,"1 cup Arhar dal (Split Toor Dal),1/2 teaspoon Turmeric powder (Haldi),3/4 cup Water,2 teaspoon Maharashtrian Goda Masala,20 grams Tamarind - in 2 tablespoon of water,1/2 teaspoon Jaggery,Salt - to taste,Coriander (Dhania) Leaves - for garnish,1 teaspoon Sunflower Oil,1 teaspoon Ghee,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Asafoetida (hing),1 sprig Curry leaves,2 Green Chillies",10,45,55,2,Maharashtrian Recipes,Lunch,High Protein Vegetarian,https://www.archanaskitchen.com/maharashtrain-amti-recipe,0
1159,Onion Bajji Recipe -Vengaya Bajji/ South Indian Onion Pakora,"2 Onions - Cut into roundels,1 cup Gram flour (besan),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Ajwain (Carom seeds),1 pinch Asafoetida (hing),Salt - to taste",5,10,15,4,Indian,Snack,Vegetarian,http://www.archanaskitchen.com/onion-bajji-recipe,0
1160,Porridge Bread Recipe,"1 cup Khichdi/Pongal,1/4 cup Rice flour - or as needed,Sunflower Oil - as needed,1/4 cup Onion - finely diced (optional),Salt - to taste",0,15,15,4,Indian,Indian Breakfast,Vegetarian,http://www.archanaskitchen.com/khichdi-roti-recipe,0
1162,Foxtail Millet Rava Idli Recipe,"3/4 cup Foxtail Millet,3/4 cup Curd (Dahi / Yogurt) - beaten,1/2 cup Carrot (Gajjar) - grated,2 Green Chillies - finely chopped (adjust),1/2 inch Ginger - grated,1 pinch Enos fruit salt,Coriander (Dhania) Leaves - small bunch,Water - as needed,Salt - to taste,1 teaspoon Sunflower Oil,1/2 teaspoon Mustard seeds,1/2 teaspoon White Urad Dal (Split),1/2 teaspoon Chana dal (Bengal Gram Dal),Cashew nuts - a few,Curry leaves - few sprigs",25,15,40,4,South Indian Recipes,South Indian Breakfast,Diabetic Friendly,http://www.archanaskitchen.com/foxtail-millet-rava-idli-recipe,0
1163,Besan Oats Ladoo Recipe,"1 cup Gram flour (besan),1/2 cup Instant Oats (Oatmeal),3/4 cup Sugar - powdered,1/4 tablespoon Cardamom Powder (Elaichi),1/4 cup Ghee,1-2 tablespoon Pistachios - coarsely powdered",25,15,40,4,Indian,Dessert,Vegetarian,https://www.archanaskitchen.com/besan-oats-ladoo-recipe,0
1165,Ada Pradhaman Recipe With Homemade Ada- Kerala Special Payasam Recipe,"3/4 cup Jaggery - powdered,1 cup Coconut milk - thick one,2 Cardamom (Elaichi) Pods/Seeds - powdered,1/2 teaspoon Ghee,1/4 cup Rice flour,1/4 cup Hot water,Salt - a pinch,1 Banana leaf,1/2 teaspoon Sunflower Oil - for greasing,10 Cashew nuts,1/4 cup Fresh coconut - finely chopped or thinly sliced coconut pieces,10 Raisins,1 teaspoon Ghee",10,35,45,3,South Indian Recipes,Dessert,Vegetarian,http://www.archanaskitchen.com/ada-pradaman-with-homemade-ada-kerala-special-payasam-recipe,0
1167, Spicy Pickled Paneer Gravy (Recipe In Hindi),"250 grams Paneer, Ghee - or oil, 2 tablespoons pickle - mango pickle with spices, 2 onions - grated, 1 tablespoon ginger garlic paste, 1/2 tablespoon red chili powder, 1/2 teaspoon turmeric Powder, 1/2 teaspoon cumin powder, 1/2 teaspoon garam masala powder, 1 teaspoon celery, 1 teaspoon fennel, water - as per use, 1 capsicum (green) - cut, 1 cup tomato puree, 1 Teaspoon Kasuri methi, salt - as per taste, Few branch green coriander - finely chopped",30,30,60,4,North Indian Recipes,Lunch,High Protein Vegetarian,https://www.archanaskitchen.com/spicy-pickled-paneer-gravy-recipe-in-hindi,0
1168,Grilled Herring With Kasundi Mustard And Wild Celery Recipe,"4 Herring Fish Steaks,1 teaspoon Ginger Garlic Paste,2 tablespoons Apple cider vinegar,1 tablespoon Extra Virgin Olive Oil,1/2 teaspoon Celery - (wild celery),1 tablespoon Kasundi mustard sauce,1 teaspoon Lemon juice,Salt - to taste,1 teaspoon Red Chilli flakes",10,10,20,4,Continental,Dinner,High Protein Non Vegetarian,http://www.archanaskitchen.com/grilled-herring-with-kasundi-mustard-and-wild-celery-recipe,0
1169,Creamy Coconut Poached Pears Recipe,"250 ml Coconut milk,1 tablespoon Coconut Sugar,2 Pears,1/2 inch Cinnamon Stick (Dalchini),1 Cardamom (Elaichi) Pods/Seeds,1 tablespoon Slivered Almonds (Badam)",20,30,50,4,Continental,Dessert,Vegan,https://www.archanaskitchen.com/creamy-coconut-poached-pears-recipe,0
1170,Mutton Dak Bungalow Curry Recipe,"500 grams Mutton - bones,3 tablespoons Curd (Dahi / Yogurt),2 tablespoons Ginger Garlic Paste,1 teaspoon Red Chilli powder,1 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Mustard oil,4 Whole Eggs - hard boiled,4 Potatoes (Aloo) - small,3 tablespoons Mustard oil,1 tablespoon Ghee,1/2 teaspoon Radhuni - special bengali spice (optional),1/3 teaspoon Methi Leaves (Fenugreek Leaves),1 Bay leaf (tej patta),1 Onion - sliced,Tomato - sliced,1 teaspoon Ginger - paste,1-1/12 teaspoon Garlic - paste,Salt - to taste,1 inch Cinnamon Stick (Dalchini),3 Cardamom (Elaichi) Pods/Seeds,1 Black cardamom (Badi Elaichi),1 Mace (Javitri) - blade,1/4 teaspoon Nutmeg powder,1 teaspoon Cumin seeds (Jeera),1 tablespoon Coriander (Dhania) Seeds,2 Green Chillies - as per taste,Dry Red Chilli - as per taste,4 Whole Black Peppercorns",480,60,540,2,Indian,Dinner,Non Vegeterian,https://www.archanaskitchen.com/mutton-dak-bungalow-curry-recipe,0
1171,French Brioche Recipe (Savoury Version),"500 grams All Purpose Flour (Maida),1/2 teaspoon Salt,2 teaspoons Active dry yeast,2 tablespoons Sugar,2 Whole Eggs,1 tablespoon Butter,200 ml Milk,1 cup Homemade Pizza And Pasta Sauce,1 tablespoon Milk,2 tablespoons Sunflower Oil",180,70,250,2,French,Snack,Eggetarian,https://www.archanaskitchen.com/french-brioche-recipe-savoury-version,0
1173,Karnataka Style Avarekalu Huli Saru Recipe (Field Beans in a Coconut based Gravy Recipe),"1/2 cup Avarekalu / Lilva Beans - Field beans,1 Potato (Aloo) - diced,1 Brinjal (Baingan / Eggplant) - diced,15 cloves Garlic - crushed,1 Pearl onions (Sambar Onions) - finely chopped,1 Tomato - chopped,Salt - to taste,18 grams Tamarind,1/2 cup Fresh coconut,1 tablespoon Red Chilli powder,2 teaspoon Coriander (Dhania) Leaves,1/8 teaspoon Turmeric powder (Haldi),1 sprig Coriander (Dhania) Leaves,1/2 teaspoon Mustard seeds,1/4 teaspoon Cumin seeds (Jeera),1/2 teaspoon White Urad Dal (Split),2 sprig Curry leaves,Sunflower Oil - sauteing",15,20,35,4,Karnataka,Lunch,Vegetarian,http://www.archanaskitchen.com/karnataka-style-avarekalu-huli-saru-recipe-field-beans-in-a-coconut-based-gravy-recipe,0
1174,Spicy Mexican Salsa Verde Recipe - Green Tomato Salsa,"8 Tomatillo - or green raw tomatoes,3 Green Chillies,1/2 cup Coriander (Dhania) Leaves - chopped,2 teaspoons Lemon juice,1 teaspoon Sugar,1.5 tablespoons Extra Virgin Olive Oil,Salt - Salt to taste",15,20,35,4,Mexican,Dinner,Vegetarian,http://www.archanaskitchen.com/spicy-mexican-salsa-verde-recipe-green-tomato-salsa,0
1175,Gobhi Ke Kofte Recipe,"1 tablespoon ginger garlic paste, 1/2 cup curd, 2 onions - make paste, 2 bay leaves, 2 big cardamom, 1/2 inch lentil sugar, 1 teaspoon red chilli powder, 1/2 teaspoon turmeric powder , 1 teaspoon coriander powder, salt - as per use, oil - as per use, water - as per use, 2 sprig of green coriander - finely chopped, 250 grams cabbage - tightly, 1/2 cup gram flour, 1 teaspoon red chilli powder , 2 green chillies - finely chopped, salt - as per use, water - as per use, oil - as per use",15,60,75,4,North Indian Recipes,Lunch,Vegetarian,http://www.archanaskitchen.com/gobi-ke-kofte-recipe-cauliflower-fritters-in-spicy-gravy-in-hindi,0
1176,Jerk Chicken With Rice And Peas Pilaf Recipe,"1 kg Chicken - (thigh and drumstick),2 tablespoons Sunflower Oil,1 Barbeque sauce - or bottle jerk barbecue sauce,Spring Onion (Bulb & Greens) - a bunch,1 teaspoon Lemon juice,250 grams Basmati rice,1 cup Green peas (Matar),1 cup Coconut milk,1/2 cup Spring Onion (Bulb & Greens) - finely chopped,1 sprig Fresh Thyme leaves,2 cloves Garlic - fine chopped,1 Bay leaf (tej patta),1 teaspoon All spice powder",20,45,65,2,Caribbean,Main Course,High Protein Non Vegetarian,https://www.archanaskitchen.com/jerk-chicken-with-rice-and-peas-pilaf-recipe,0
1177,Tomato Basil Pasta And Pizza Sauce Recipe,"1 kg Blanched tomatoes,2 tablespoons Extra Virgin Olive Oil,4 cloves Garlic - finely chopped,1 Onion - finely chopped,Basil leaves - a few sprigs roughly torn,Salt - to taste,Whole Black Peppercorns - coarsely pounded,2 teaspoons Sugar",10,30,40,2,Italian Recipes,Vegetarian,High Protein Non Vegetarian,http://www.archanaskitchen.com/video-recipe-quick-and-easy-tomato-basil-pasta-pizza-sauce,0
1178,Matar Keema Recipe,"1 cup green peas - boiled and mashed, 1 potato - boiled and mashed, 1/2 cup cheese - pinch, 1 tomato - finely chopped / 2 teaspoon Rye, Asafoetida - a pinch, 1 onion - finely chopped, 1 tablespoon ginger garlic paste, 1 teaspoon red chilli powder, 1/2 teaspoon turmeric powder, coriander leaves - a little, 1 teaspoon coriander Powder, 1/2 teaspoon garam masala powder, oil - used, water - used, salt - used",35,30,65,4,North Indian Recipes,Lunch,Vegetarian,https://www.archanaskitchen.com/matar-keema-recipe-in-hindi,0
1180,Foxtail Millet Pilaf Recipe,"1 cup Foxtail Millet,250 grams Button mushrooms - quartered,1 inch Cinnamon Stick (Dalchini),1 Cardamom (Elaichi) Pods/Seeds,1 Onion - sliced,4 cloves Garlic - chopped,1 tablespoon Dried oregano,1 tablespoon Rosemary,1 teaspoon Black pepper powder,1/4 teaspoon Turmeric powder (Haldi),4 Prunes - sliced,1 tablespoon Raisins,Salt - to taste",10,30,40,4,Middle Eastern,Lunch,Diabetic Friendly,http://www.archanaskitchen.com/foxtail-millet-pilaf-recipe,0
1181, Sindhi Kadhi (Recipe In Hindi),"1 cup arhar dal, 1 tomato, 1 cup okra - cut it straight, 2 tablespoons oil, 1 teaspoon fenugreek seeds, 1 teaspoon mustard, 2 dry red chillies, 10 curry leaves, asafetida - a pinch, 2 tablespoons Gram flour, 1 teaspoon red chilli powder, 1 tablespoon tamarind paste, 1 teaspoon turmeric powder, 1 tablespoon jaggery - make powder, salt - as per taste",10,60,70,2,Sindhi,Lunch,High Protein Vegetarian,http://www.archanaskitchen.com/sindhi-kadhi-recipe-in-hindi,0
1182, Togarikaayi Usli Recipe,"2 cups green tur dal - fresh, 1/4 cup oil, 10 green chilies, 2 garlic, 1/2 cup green coriander - chopped, salt - as per taste, 1 tablespoon butter, 1 teaspoon mustard",10,30,40,4,North Karnataka,Lunch,High Protein Vegetarian,http://www.archanaskitchen.com/togarikaayi-usli-recipe-green-pigeon-peas-in-hindi,0
1183,Kothavarangai Poriyal Recipe - South Indian Style Cluster Beans Sabzi,"500 grams Gawar Phali (Kothavarangai / Cluster beans) - finely chopped,1 Onion - finely chopped,1 teaspoon Mustard seeds,1 Dry Red Chilli,1 sprig Curry leaves,Asafoetida (hing) - a pinch,4 tablespoons Fresh coconut - grated,1 Green Chilli,2 teaspoons Sunflower Oil,Salt - to taste",10,15,25,4,South Indian Recipes,Lunch,Vegetarian,https://www.archanaskitchen.com/kothavarangai-poriyal-recipe-south-indian-style-cluster-beans-stir-fry,0
1184,Kachcha Kela Masala Sabzi Recipe (Raw Banana with Tomatoes & Spices),"2 Raw Banana,2 Tomatoes - finely chopped,1 inch Ginger - grated,2 Bay leaves (tej patta),1 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,Red Chilli powder - as required to taste,Salt - as required to taste",10,40,50,4,Indian,Lunch,Vegetarian,https://www.archanaskitchen.com/kachcha-kela-masala-sabzi-recipe-raw-banana-with-tomatoes-spices,0
1185,Goan Molyacho Ross Recipe - Goan Moolyacho Ross,"2 radishes - peel, 1/2 cup pigeonpea, 1/2 onion - finely chopped, 6 tablespoons coconut - grated, 1 green chilli - cut straight, 4 dry red chillies, 1 teaspoon coriander seeds, Tamarind - Lemon, 1/2 teaspoon Jaggery - grated, salt - as per taste",20,30,50,4,Goan Recipes,Lunch,Vegetarian,https://www.archanaskitchen.com/goan-moolyacho-ross-recipe-goan-radish-curry-in-hindi,0
1186,Coconut Chia Pudding Recipe,"1/4 cup Chia Seeds,1 1/2 cup Tender coconut water,2 tablespoon Coconut milk - thick,1 Orange - zest,1/4 cup Blueberries,1 tablespoon Pistachios - crushed,Honey - optional,Mint Leaves (Pudina) - a few",20,30,50,4,Goan Recipes,Lunch,Vegetarian,https://www.archanaskitchen.com/coconut-chia-pudding-recipe,0
1187,Paneer Frankie Recipe - Delicious Kid Friendly Snack,"4 Whole Wheat Tawa Paratha - made into round large sizes for rolls,4 Lettuce leaves,200 grams Paneer (Homemade Cottage Cheese) - cut into strips,1 Red Bell pepper (Capsicum) - thinly sliced,1 Onion - thinly sliced,4 tablespoons Del Monte Tandoori Mayo",10,30,40,4,Indian,Snack,High Protein Vegetarian,http://www.archanaskitchen.com/healthy-paneer-frankie-rolls-recipe-kids-recipes-made-with-del-monte,0
1188,Beetroot Paneer Curry Recipe In Coconut Milk - Beet Paneer Curry Recipe,"200 grams Paneer - cut, 2 chakundar - peel and chop, 1 onion - finely chopped, 2 green chillies - cut straight, 1 inch ginger - tighten, 2 bud garlic - finely chopped, 1 teaspoon coriander powder, 1 teaspoon turmeric, 1 teaspoon garam masala powder, 3/4 cup coconut milk, 2 teaspoons oil - as per use, salt - as per taste, red chili powder - as per taste",15,40,55,4,Indian,Side Dish,High Protein Vegetarian,https://www.archanaskitchen.com/beetroot-and-paneer-curry-recipe-in-coconut-milk-in-hindi,0
1189,Rajasthani Gatte Ka Pulao Recipe,"1 cup Gram flour (besan),1/2 teaspoon Ajwain (Carom seeds),1/4 teaspoon Red Chilli powder,2 tablespoons Curd (Dahi / Yogurt),2 tablespoons Sunflower Oil,Salt - to taste,1 cup Cooked rice,1 tablespoon Ghee,4 cloves Garlic,1 Onion - finely chopped,1 teaspoon Turmeric powder (Haldi),1/4 teaspoon Red Chilli powder,1 Bay leaf (tej patta) - torn,3 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),Salt - to taste,4 sprig Coriander (Dhania) Leaves - chopped",10,60,70,4,Rajasthani,Lunch,Vegetarian,https://www.archanaskitchen.com/rajasthani-gatte-ka-pulao-recipe,0
1190,Paneer Kofta Curry Recipe - Paneer Kofta Curry Recipe,"250 g Paneer - grated, 3 tablespoons all purpose flour (All Purpose Flour), salt - a pinch, coriander - a little, 1 tsp cumin powder, 1 ginger - grated, 1 tbsp honey, 2 cups tomato puree, 1 1 teaspoon coriander powder, 1/2 teaspoon garam masala powder, 1/4 teaspoon turmeric powder, 1/4 cup Hung yogurt - or cream, fenugreek seeds - little, salt - as per taste, oil - as per use",20,40,60,4,North Indian Recipes,Side Dish,Vegetarian,https://www.archanaskitchen.com/paneer-kofta-curry-recipe-non-fried-in-hindi,0
1191,Chia Seeds Shikanji Recipe,"4 teaspoon Chia Seeds,3 cup Chilled water,1 cup Ice cubes,3 Lemon - juice,4 tablespoons Sugar - powdered,Black Salt (Kala Namak) - to taste,Cumin powder (Jeera) - a pinch,Black pepper powder - a pinch,Mint Leaves (Pudina) - chopped",30,0,30,4,Indian,Snack,Vegetarian,https://www.archanaskitchen.com/chia-seeds-shikanji-recipe-in-hindi-2,0
1192,Spiced Coconut Oatmeal With Assorted Fruits Recipe,"1/2 cup Instant Oats (Oatmeal),1 cup Lukewarm Water,1/4 cup Coconut milk,2 teaspoons Honey,1/4 teaspoon Cinnamon Powder (Dalchini),1/8 teaspoon Dry ginger powder,2 Ripe Bananas - sliced,3 Dates - sliced,2 tablespoon Anardana Powder (Pomegranate Seed Powder),2 tablespoons Walnuts,Salt - a pinch",5,10,15,4,Continental,World Breakfast,Vegetarian,http://www.archanaskitchen.com/spiced-coconut-oatmeal-with-assorted-fruits-recipe,0
1194,Carrot And Capsicum Rice Recipe,"2 cups Cooked rice,1 teaspoon Cumin seeds (Jeera),3 to 4 Curry leaves,1 Green Chilli - thinly sliced,1 Carrot (Gajjar) - grated,1 Green Bell Pepper (Capsicum) - chopped finely,1 Onion - finely sliced,1/2 teaspoon Red Chilli powder,1/2 teaspoon Black pepper powder,Ghee - as required,Coriander (Dhania) Leaves - Few chopped sprigs to garnish,Salt - as required",20,45,65,2,Indian,Lunch,Vegetarian,http://www.archanaskitchen.com/carrot-and-capsicum-rice-recipe,0
1195,South Indian One Pot Sambar Rice Recipe,"1 teaspoon Ghee,2 tablespoons Chana dal (Bengal Gram Dal),1 tablespoon White Urad Dal (Split),1 tablespoon Coriander (Dhania) Seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Mustard seeds,4 Dry Red Chillies,1/4 cup Fresh coconut - Roughly chopped,1 cup Rice - (Sona Masuri Variety),1/2 cup Pink Masoor Dal (Split),1/4 cup Potato (Aloo) - cubed,1/4 cup Green beans (French Beans) - chopped,1/4 cup Bottle gourd (lauki) - chopped,1/2 cup Onion - sliced,2 teaspoons Ghee,2 teaspoons Sunflower Oil,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),2 Dry Red Chillies,1 Green Chilli - slit,1/8 teaspoon Asafoetida (hing),1/2 teaspoon Turmeric powder (Haldi),1/3 cup Tamarind Water,1 tablespoon Jaggery,4 cups Water,Salt - to taste,2 tablespoons Coriander (Dhania) Leaves - chopped",20,45,65,4,South Indian Recipes,Main Course,Vegetarian,https://www.archanaskitchen.com/south-indian-one-pot-sambar-rice-recipe,0
1196,Pineapple and Dill Granita Recipe,"750 grams Pineapple - peeled and cubed,2 sprig Dill leaves,1/3 cups Sugar,1/2 cup Water,1 cup Ice cubes",10,260,270,2,Italian Recipes,Dessert,Vegetarian,https://www.archanaskitchen.com/pineapple-and-dill-granita-recipe,0
1197,Spicy Lemon Chilli Paneer Tart With Curry Leaves Recipe,"300 grams All Purpose Flour (Maida),200 grams Butter (unsalted) - cut into small cubes and chilled,100 grams Icing Sugar,1 Whole Egg,1 teaspoon Salt,200 grams Paneer (Homemade Cottage Cheese) - cut into cubes,1/2 cup Green Bell Pepper (Capsicum) - diced into squares,1/2 cup Onion - diced,8 cloves Garlic - cut into strips,3 Green Chillies - slit,1/4 cup Spring Onion Greens - finely chopped,Salt - to taste,1 teaspoon Black pepper powder,1 teaspoon Turmeric powder (Haldi),1 teaspoon Green Chilli Sauce,1 sprig Curry leaves,1 teaspoon Mustard seeds,1 teaspoon Corn flour - mixed with 4 teaspoons water,1 Lemon - cut into 8 wedges",20,20,40,4,Fusion,Appetizer,Eggetarian,https://www.archanaskitchen.com/spicy-lemon-chilli-paneer-tart-with-curry-leaves-recipe,0
1198,Bajri Roti Recipe,"2 cups Bajra Flour ( Pearl Millet),1/4 cup Whole Wheat Flour,Salt - to taste,1 tablespoon Ghee,Lukewarm Water - to bind the dough",15,30,45,5,Indian,Dinner,Diabetic Friendly,https://www.archanaskitchen.com/bajri-ki-roti-recipe,0
1199,Chinese style Black Sesame Nai Huang Bao Recipe (Steamed Custard Buns),"4 tablespoon Milk Powder,150 ml Coconut milk,50 grams Condensed Milk,2 Whole Eggs,Sunflower Oil - as required or 2 tablespoon melted butter,400 grams All Purpose Flour (Maida),100 grams Black sesame seeds - powdered,1 teaspoon Active dry yeast,280 ml Lukewarm Water,30 grams Sugar,3 tablespoon Sunflower Oil",10,90,100,4,Chinese,Appetizer,Vegetarian,https://www.archanaskitchen.com/black-sesame-nai-huang-bao-recipe-chinese-steamed-custard-buns,0
1200,Kesar Shrikhand Recipe - Greek Yogurt Pudding With Saffron,"2 cups Hung Curd (Greek Yogurt) - (use low fat preferably),1 cup Caster Sugar,1 teaspoon Cardamom Powder (Elaichi),6 Saffron strands,1/4 cup Pistachios - sliced  or almonds will also do,1 cup Fresh fruits - of your choice",360,30,390,4,Gujarati Recipes?,Dessert,Vegetarian,http://www.archanaskitchen.com/kesar-shrikhand-recipe,0
1201,Matki Chi Usal Recipe - Spicy Moth Sprouted Salad,"1 cup Moth Sprouts (Matki),1/2 cup Horse Gram Dal (Kollu/ Kulith) - sprouted,1 teaspoon Ajwain (Carom seeds),1 teaspoon Mustard seeds,1 pinch Asafoetida (hing),1 teaspoon Red Chilli powder,2 tablespoon Fresh coconut - grated,1 Lemon juice,Salt - to taste,Water - as required,1 sprig Curry leaves,2 Dry Red Chillies",10,20,30,4,Maharashtrian Recipes,Snack,Vegetarian,https://www.archanaskitchen.com/matki-chi-usal-recipe-spicy-moth-sprouted-salad-recipe,0
1202,Egg Korma Recipe,"4 Whole Eggs - hard boiled,2 tablespoon Sunflower Oil,1 tablespoon Cumin seeds (Jeera),2 Onions - chopped,2-3 Green Chilli - chopped,2 Tomatoes - chopped,1 tablespoon Ginger Garlic Paste,1 tablespoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander Powder (Dhania),1/2 tablespoon Garam masala powder,1/2 cup Coconut milk,Salt - to taste,Coriander (Dhania) Leaves - small bunch",10,20,30,4,Indian,Side Dish,Eggetarian,https://www.archanaskitchen.com/egg-korma-recipe,0
1203,Raw Tomato Chutney Recipe - Raw Tomato Chutney (Recipe In Hindi),"500 grams tomatoes, 4 green chillies, 4 cloves garlic, 1 teaspoon fenugreek seeds, salt - as per taste, 1 teaspoon jaggery, 1 sprig curry leaves, 1 onion - finely chopped, 1 teaspoon mustard, oil - as per use",20,20,40,4,South Indian Recipes,Side Dish,Vegetarian,http://www.archanaskitchen.com/raw-tomato-chutney-recipe-in-hindi,0
1204,Broccoli Rava Idli Recipe,"1/2 cup Polenta,1/2 cup Sooji (Semolina/ Rava),1 cup Broccoli - grated,2 tablespoon Cashew nuts,1 cup Curd (Dahi / Yogurt),1/2 cup Water,2 Green Chilli - chopped,1 inch Ginger - finely chopped,1/4 teaspoon Asafoetida (hing),1 sprig Curry leaves,1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 teaspoon Sunflower Oil,1/2 teaspoon Enos fruit salt,Salt - to taste",20,10,30,4,South Indian Recipes,South Indian Breakfast,Vegetarian,http://www.archanaskitchen.com/cornmeal-sooji-and-broccoli-idli-recipe,0
1205,Mushroom & Goat Cheese Omelette with Spinach Recipe,"2 Whole Eggs,1/4 cup Milk,100 grams Button mushrooms - quatered,1 teaspoon Dried oregano,1 teaspoon Black pepper powder,Salt - to taste,4 Spinach Leaves (Palak) - torn,50 grams Goat Cheese,1 tablespoon Butter,Sunflower Oil",10,20,30,1,Continental,World Breakfast,Eggetarian,http://www.archanaskitchen.com/mushroom-goat-cheese-omeltte-with-spinach-recipe,0
1206,Caramel Folded Plum Cake Recipe,"1-1/2 cups Mixed dry fruits - I used apricot,3/4 cup Rum - or�Double with orange juice,1/2 cup Sugar,1/2 cup Hot water,1 cup Vivatta Maida,1/2 teaspoon Baking powder,1/2 teaspoon Baking soda,3 Cloves (Laung),3 Cardamom (Elaichi) Pods/Seeds,1 pinch Cinnamon Powder (Dalchini),1 pinch Nutmeg powder,5 tablespoons Butter (unsalted),1/2 cup Sugar,2 Whole Eggs,1-1/2 cups Mixed nuts - I used almond,1/2 cup Tutti frutti,1 pinch Salt",40,60,100,1,Kerala Recipes,Snack,Eggetarian,http://www.archanaskitchen.com/caramel-folded-plum-cake-recipe,0
